10540	Albany-Lebanon, OR Micropolitan Statistical Area
18700	Corvallis, OR Metropolitan Statistical Area
10580	Albany-Schenectady-Troy, NY Metropolitan Statistical Area
11220	Amsterdam, NY Micropolitan Statistical Area
24020	Glens Falls, NY Metropolitan Statistical Area
24100	Gloversville, NY Micropolitan Statistical Area
26460	Hudson, NY Micropolitan Statistical Area
11180	Ames, IA Metropolitan Statistical Area
14340	Boone, IA Micropolitan Statistical Area
11540	Appleton, WI Metropolitan Statistical Area
36780	Oshkosh-Neenah, WI Metropolitan Statistical Area
11700	Asheville, NC Metropolitan Statistical Area
14820	Brevard, NC Micropolitan Statistical Area
12060	Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area
16340	Cedartown, GA Micropolitan Statistical Area
23580	Gainesville, GA Metropolitan Statistical Area
29300	LaGrange, GA Micropolitan Statistical Area
45580	Thomaston, GA Micropolitan Statistical Area
46740	Valley, AL Micropolitan Statistical Area
12940	Baton Rouge, LA Metropolitan Statistical Area
38200	Pierre Part, LA Micropolitan Statistical Area
13220	Beckley, WV Micropolitan Statistical Area
36060	Oak Hill, WV Micropolitan Statistical Area
13460	Bend, OR Metropolitan Statistical Area
39260	Prineville, OR Micropolitan Statistical Area
13820	Birmingham-Hoover, AL Metropolitan Statistical Area
18980	Cullman, AL Micropolitan Statistical Area
14460	Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area
18180	Concord, NH Micropolitan Statistical Area
29060	Laconia, NH Micropolitan Statistical Area
31700	Manchester-Nashua, NH Metropolitan Statistical Area
49340	Worcester, MA Metropolitan Statistical Area
15180	Brownsville-Harlingen, TX Metropolitan Statistical Area
39700	Raymondville, TX Micropolitan Statistical Area
15380	Buffalo-Niagara Falls, NY Metropolitan Statistical Area
36460	Olean, NY Micropolitan Statistical Area
16020	Cape Girardeau-Jackson, MO-IL Micropolitan Statistical Area
43460	Sikeston, MO Micropolitan Statistical Area
10620	Albemarle, NC Micropolitan Statistical Area
16740	Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area
16900	Chester, SC Micropolitan Statistical Area
29580	Lancaster, SC Micropolitan Statistical Area
30740	Lincolnton, NC Micropolitan Statistical Area
41580	Salisbury, NC Micropolitan Statistical Area
43140	Shelby, NC Micropolitan Statistical Area
44380	Statesville-Mooresville, NC Micropolitan Statistical Area
11940	Athens, TN Micropolitan Statistical Area
16860	Chattanooga, TN-GA Metropolitan Statistical Area
17420	Cleveland, TN Metropolitan Statistical Area
16980	Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area
28100	Kankakee-Bradley, IL Metropolitan Statistical Area
33140	Michigan City-La Porte, IN Metropolitan Statistical Area
17140	Cincinnati-Middletown, OH-KY-IN Metropolitan Statistical Area
48940	Wilmington, OH Micropolitan Statistical Area
17200	Claremont, NH Micropolitan Statistical Area
30100	Lebanon, NH-VT Micropolitan Statistical Area
10420	Akron, OH Metropolitan Statistical Area
11780	Ashtabula, OH Micropolitan Statistical Area
17460	Cleveland-Elyria-Mentor, OH Metropolitan Statistical Area
17580	Clovis, NM Micropolitan Statistical Area
38780	Portales, NM Micropolitan Statistical Area
17900	Columbia, SC Metropolitan Statistical Area
35140	Newberry, SC Micropolitan Statistical Area
12220	Auburn-Opelika, AL Metropolitan Statistical Area
17980	Columbus, GA-AL Metropolitan Statistical Area
46260	Tuskegee, AL Micropolitan Statistical Area
17060	Chillicothe, OH Micropolitan Statistical Area
18140	Columbus, OH Metropolitan Statistical Area
32020	Marion, OH Micropolitan Statistical Area
34540	Mount Vernon, OH Micropolitan Statistical Area
47860	Washington, OH Micropolitan Statistical Area
18060	Columbus, MS Micropolitan Statistical Area
48500	West Point, MS Micropolitan Statistical Area
18340	Corbin, KY Micropolitan Statistical Area
30940	London, KY Micropolitan Statistical Area
18580	Corpus Christi, TX Metropolitan Statistical Area
28780	Kingsville, TX Micropolitan Statistical Area
11980	Athens, TX Micropolitan Statistical Area
14300	Bonham, TX Micropolitan Statistical Area
19100	Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area
23620	Gainesville, TX Micropolitan Statistical Area
24180	Granbury, TX Micropolitan Statistical Area
33420	Mineral Wells, TX Micropolitan Statistical Area
19380	Dayton, OH Metropolitan Statistical Area
24820	Greenville, OH Micropolitan Statistical Area
44220	Springfield, OH Metropolitan Statistical Area
46500	Urbana, OH Micropolitan Statistical Area
19660	Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area
37380	Palm Coast, FL Micropolitan Statistical Area
14500	Boulder, CO Metropolitan Statistical Area
19740	Denver-Aurora, CO Metropolitan Statistical Area
19780	Des Moines, IA Metropolitan Statistical Area
35500	Newton, IA Micropolitan Statistical Area
37800	Pella, IA Micropolitan Statistical Area
11460	Ann Arbor, MI Metropolitan Statistical Area
19820	Detroit-Warren-Livonia, MI Metropolitan Statistical Area
22420	Flint, MI Metropolitan Statistical Area
33780	Monroe, MI Metropolitan Statistical Area
20020	Dothan, AL Metropolitan Statistical Area
21460	Enterprise-Ozark, AL Micropolitan Statistical Area
20740	Eau Claire, WI Metropolitan Statistical Area
32860	Menomonie, WI Micropolitan Statistical Area
17220	Clarksburg, WV Micropolitan Statistical Area
21900	Fairmont, WV Micropolitan Statistical Area
22020	Fargo, ND-MN Metropolitan Statistical Area
47420	Wahpeton, ND-MN Micropolitan Statistical Area
22300	Findlay, OH Micropolitan Statistical Area
45660	Tiffin, OH Micropolitan Statistical Area
13180	Beaver Dam, WI Micropolitan Statistical Area
22540	Fond du Lac, WI Metropolitan Statistical Area
19760	De Ridder, LA Micropolitan Statistical Area
22860	Fort Polk South, LA Micropolitan Statistical Area
12140	Auburn, IN Micropolitan Statistical Area
19540	Decatur, IN Micropolitan Statistical Area
23060	Fort Wayne, IN Metropolitan Statistical Area
26540	Huntington, IN Micropolitan Statistical Area
28340	Kendallville, IN Micropolitan Statistical Area
23420	Fresno, CA Metropolitan Statistical Area
31460	Madera, CA Metropolitan Statistical Area
10880	Allegan, MI Micropolitan Statistical Area
24340	Grand Rapids-Wyoming, MI Metropolitan Statistical Area
26100	Holland-Grand Haven, MI Metropolitan Statistical Area
34740	Muskegon-Norton Shores, MI Metropolitan Statistical Area
15500	Burlington, NC Metropolitan Statistical Area
24660	Greensboro-High Point, NC Metropolitan Statistical Area
34340	Mount Airy, NC Micropolitan Statistical Area
45640	Thomasville-Lexington, NC Micropolitan Statistical Area
49180	Winston-Salem, NC Metropolitan Statistical Area
11340	Anderson, SC Metropolitan Statistical Area
23500	Gaffney, SC Micropolitan Statistical Area
24860	Greenville, SC Metropolitan Statistical Area
