C3022	Miscellaneous Topographic Features	Mountain Peak or Summit	Y	N	N	A prominent elevation rising above the surrounding level of the Earth's surface.
C3023	Miscellaneous Topographic Features	Island	Y	Y	Y	An area of dry or relatively dry land surrounded by water or low wetland. [including archipelago, atoll, cay, hammock, hummock, isla, isle, key, moku, and rock]
C3024	Miscellaneous Topographic Features	Levee	N	Y	Y	An embankment flanking a stream or other flowing water feature to prevent overflow.
C3026	Miscellaneous Topographic Features	Quarry (not water-filled), Open Pit Mine or Mine	Y	N	Y	An area from which commercial minerals are or were removed from the Earth; not including an oilfield or gas field.
C3027	Miscellaneous Topographic Features	Dam	Y	Y	Y	A barrier built across the course of a stream to impound water and/or control water flow.
C3061	Miscellaneous Topographic Features	Cul-de-sac	Y	N	N	An expanded paved area at the end of a street used by vehicles for turning around. The placement of addressed structures located along the street may wrap around the end of the cul-de-sac.
C3062	Miscellaneous Topographic Features	Traffic Circle	Y	N	N	A circular intersection allowing for continuous movement of traffic at the meeting of roadways, when the circle is represented as a point.
C3066	Miscellaneous Topographic Features	Gate	Y	N	N	A movable barrier across a road.
C3067	Miscellaneous Topographic Features	Toll Booth	Y	N	N	A structure or barrier where a fee is collected for using a road.
C3071	Miscellaneous Topographic Features	Tower	Y	N	N	A manmade structure, higher than its diameter, generally used for observation, storage, or electronic transmission.
C3074	Miscellaneous Topographic Features	Lighthouse Beacon	Y	N	N	A manmade structure, higher than its diameter, used to transmit light and possibly sound generally to aid in navigation.
C3075	Miscellaneous Topographic Features	Tank/Tank Farm	Y	N	Y	One or more manmade structures, used for liquid or gas storage or for distribution activities.
C3076	Miscellaneous Topographic Features	Windmill Farm	Y	N	Y	A facility where power is generated from the wind.
C3077	Miscellaneous Topographic Features	Solar Farm	Y	N	Y	A facility where power is generated from the sun.
C3078	Miscellaneous Topographic Features	Monument or Memorial	Y	N	N	A manmade structure to educate, commemorate, or memorialize an event, person, or feature.
C3079	Miscellaneous Topographic Features	Boundary Monument Point	Y	N	N	A locational marker or monument placed on or near a boundary line to preserve and identify the location of the boundary line on the ground.
C3080	Miscellaneous Topographic Features	Survey Control Point	Y	N	N	A point on the ground whose position (horizontal or vertical) is known and can be used as a base for additional survey work.
